Sensor_A,Sensor_B,Humidity,Pressure,time,True_Temperature
38.77916498309531,38.282815568266635,28,1005,21,38.42140521898186
24.383295446719682,23.64372258911857,74,1005,7,23.88933329076669
31.2135375186946,31.787121713644012,39,1014,8,30.81227542158227
37.751876112753024,38.24710724349381,56,1013,2,37.66424537664073
37.7864224944707,38.218424887020724,49,1011,6,37.616968065831195
17.379677470689398,16.992467945661083,56,1024,3,17.424344734578508
31.740929973900798,32.21806459379469,32,998,6,31.322205625082347
32.08628405040014,33.334508995157904,71,980,14,32.33993866785913
25.626311272402322,24.817177313616753,66,984,4,25.815415987916897
32.87390790143937,33.25961347332696,23,1030,21,32.627332588540746
29.5029784255685,30.08540942117784,71,991,12,29.184879653544655
33.873051441832544,33.47697864988954,41,1014,16,33.67874135712934
37.67710030562255,36.70118112169509,38,1026,21,37.59311094545513
25.174101632172928,23.96233232429163,24,1027,20,24.754678339755902
21.46074582450691,22.05463810556061,42,1018,17,21.531047912803405
18.09122074824967,17.790248183397992,80,1020,19,18.33867807966846
28.30037877745403,28.905018165607707,49,1023,22,28.168271756002245
20.40001480072465,20.09145204566712,29,998,12,20.706469876689482
37.310413654443664,25.346613102033096,79,1008,16,24.78517952071057
15.865032866575698,15.34813312061428,40,1026,21,15.369526900895192
30.041457375377572,30.392979760965854,39,983,23,30.133332676894128
28.154058615547548,26.952378613166474,84,1026,15,27.94371029898685
36.342924267979264,36.64179821085276,71,1018,2,35.89426761903502
27.557559015585255,27.325427510669304,32,1008,6,27.897354122367574
33.67346524379227,32.97411414074101,35,1021,1,33.43265920695748
32.98273009020818,33.40596253602799,33,983,14,33.07874052776691
